year,player,player_id,position,player_game_count,team_name,snap_counts_kickoff_return,snap_counts_kickoff,snap_counts_punt_return,snap_counts_punt_coverage,snap_counts_field_goal_blocking,snap_counts_field_goal,grades_misc_st,grades_kickoff_kicker,grades_kick_return,grades_punter,grades_punt_return,grades_fgep_kicker,penalties,declined_penalties,tackles,assists,missed_tackles
2014,Adam Vinatieri,226,K,16,IND,0,0,0,0,0,82,42.2,,,,,75.9,1,0,0,0,0
2014,Charles Woodson,330,S,16,OAK,1,0,12,0,93,0,59.1,,59.9,,62.7,,0,0,0,0,0
2014,Phil Dawson,422,K,16,SF,0,74,0,0,0,65,60.9,41.5,,,,68.1,0,0,1,0,0
2014,John Abraham,591,ED,1,ARZ,0,0,1,0,1,0,59.9,,,,,,0,0,0,0,0
2014,Sebastian Janikowski,595,K,16,OAK,0,62,0,0,0,50,60.8,68.1,,,,71.8,0,0,1,0,0
2014,Shane Lechler,673,P,16,HST,0,1,0,84,0,76,63.6,60,,63.6,,,0,0,0,0,1
2014,Tom Brady,698,QB,1,NE,0,0,0,0,0,0,60,,,,,,0,0,0,0,0
2014,Shayne Graham,730,K,16,NO,0,2,0,0,0,69,60.4,60,,,,60.5,0,0,0,0,0
2014,Mike Leach,750,LS,16,ARZ,0,0,0,93,0,60,28.3,,,,,,0,0,2,0,1
2014,Justin Smith,776,DI,3,SF,0,0,0,0,7,0,59.1,,,,,,0,0,0,0,0
2014,Santana Moss,786,WR,4,WAS,11,2,4,0,0,0,57.5,,,,,,0,0,0,0,0
2014,Ryan Pickett,799,DI,5,HST,0,0,5,0,23,0,59.3,,,,,,0,0,0,0,0
2014,Dominic Raiola,820,C,2,DET,0,0,0,0,0,8,60.6,,,,,,0,0,0,0,0
2014,Steve Smith,837,WR,2,BLT,2,0,0,0,0,0,59.4,,,,,,0,0,0,0,0
2014,Roberto Garza,856,C,12,CHI,0,0,0,0,0,31,62.2,,,,,,0,0,0,0,0
2014,Jay Feely,955,K,4,CHI,0,14,0,0,0,10,60.2,42.3,,,,55.5,0,0,0,0,0
2014,Julius Peppers,1010,ED,16,GB,0,0,7,0,61,0,50.2,,,,,,1,0,0,0,0
2014,Dave Zastudil,1113,P,2,ARZ,0,0,0,12,0,6,61,,,47.5,,,0,0,0,0,0
2014,Larry Foote,1126,LB,15,ARZ,0,0,13,0,61,0,60.4,,,,,,0,0,0,0,0
2014,Jonathan Goodwin,1146,C,2,NO,0,0,0,0,0,3,60.2,,,,,,0,0,0,0,0
2014,Brett Keisel,1204,DI,4,PIT,0,0,1,0,9,0,60.1,,,,,,0,0,0,0,0
2014,Matt Bryant,1223,K,16,ATL,0,0,0,0,0,73,60.4,,,,,83.6,0,0,0,0,0
2014,Billy Cundiff,1230,K,13,CLV,0,63,0,0,0,58,60.8,81.2,,,,55.6,0,0,0,0,0
2014,James Harrison,1251,ED,9,PIT,0,0,1,0,36,0,60.8,,,,,,0,0,0,0,0
2014,Andre Johnson,1319,WR,1,HST,1,0,0,0,0,0,60,,,,,,0,0,0,0,0
2014,Terence Newman,1321,CB,13,CIN,0,3,2,0,47,0,63,,,,,,0,0,1,0,0
2014,Kevin Williams,1325,DI,16,SEA,0,0,2,0,48,0,58.8,,,,,,0,0,0,0,0
2014,Troy Polamalu,1332,S,12,PIT,2,0,0,0,46,0,59.2,,,,,,0,0,0,0,0
2014,Calvin Pace,1334,ED,16,NYJ,0,0,10,0,74,0,60.2,,,,,,0,0,0,0,0
2014,Charles Tillman,1351,CB,2,CHI,0,0,6,0,8,0,60.2,,,,,,0,0,0,0,0
2014,Rashean Mathis,1355,CB,16,DET,2,0,5,0,53,0,62,,,,,,0,0,0,0,0
2014,Anquan Boldin,1369,WR,3,SF,4,0,0,0,0,0,58.4,,,,,,0,0,0,0,0
2014,Osi Umenyiora,1371,ED,5,ATL,0,0,8,0,0,0,60.2,,,,,,0,0,0,0,0
2014,Cory Redding,1381,DI,15,IND,0,0,1,0,64,0,58.5,,,,,,0,0,0,0,0
2014,Lance Briggs,1383,LB,8,CHI,0,0,4,0,42,0,60.8,,,,,,0,0,0,0,0
2014,Jason Witten,1384,TE,16,DAL,7,0,0,0,0,82,69,,,,,,0,0,0,0,0
2014,Wade Smith,1393,G,5,PHI,0,0,0,0,0,28,61.4,,,,,,0,0,0,0,0
2014,Jarret Johnson,1421,ED,14,SD,0,0,1,0,68,0,59.3,,,,,,0,0,0,0,0
2014,Ike Taylor,1437,CB,5,PIT,0,0,0,0,20,0,61.2,,,,,,0,0,0,0,0
2014,Mike Scifres,1458,P,13,SD,0,0,0,56,0,57,54.5,,,74.3,,,1,0,0,0,0
2014,Josh Brown,1520,K,16,NYG,0,82,0,0,0,70,35.8,49,,,,73.6,2,0,2,0,1
2014,Chris Clemons,1585,ED,16,JAX,0,0,8,0,74,0,77.2,,,,,,0,0,0,0,0
2014,Colin Cole,1589,DI,5,CAR,0,0,0,0,13,0,59.5,,,,,,0,0,0,0,0
2014,Jon Dorenbos,1600,LS,16,PHI,0,0,0,77,0,90,29.6,,,,,,0,0,1,0,0
2014,Cullen Jenkins,1637,DI,7,NYG,0,0,9,0,23,0,58.9,,,,,,0,0,0,0,0
2014,Mat McBriar,1659,P,3,SD,0,0,0,13,0,12,61.5,,,56.9,,,0,0,0,0,0
2014,Kassim Osgood,1676,WR,13,SF,61,57,56,63,0,0,54.2,,,,,,2,0,5,1,4
2014,Larry Fitzgerald,1724,WR,2,ARZ,2,0,0,0,0,0,59.4,,,,,,0,0,0,0,0
2014,DeAngelo Hall,1729,CB,3,WAS,1,0,0,0,9,0,73.2,,,,,,0,0,0,0,0
2014,Ben Roethlisberger,1732,QB,1,PIT,0,0,0,1,0,0,60,,,60,,,0,0,0,0,0
2014,D.J. Williams,1738,LB,3,CHI,0,0,1,0,11,0,60.1,,,,,,0,0,0,0,0
2014,Vince Wilfork,1742,DI,16,NE,0,0,3,0,65,6,75.7,,,,,,0,0,0,0,0
2014,Steven Jackson,1745,HB,1,ATL,2,0,0,0,0,0,59.4,,,,,,0,0,0,0,0
2014,Jason Babin,1748,ED,7,NYJ,0,0,10,0,16,0,58.8,,,,,,0,0,0,0,0
2014,Benjamin Watson,1753,TE,16,NO,6,2,0,0,0,67,68.2,,,,,,0,0,0,0,0
2014,Karlos Dansby,1754,LB,12,CLV,0,0,20,0,44,0,60.8,,,,,,0,0,0,0,0
2014,Dwan Edwards,1772,DI,16,CAR,0,0,6,0,72,71,62,,,,,,0,0,0,0,0
2014,Randy Starks,1792,DI,14,MIA,0,0,1,0,73,0,56.3,,,,,,0,0,0,0,0
2014,Matt Schaub,1811,QB,10,OAK,0,0,0,0,0,36,62.4,,,,,,0,0,0,0,0
2014,Shaun Phillips,1819,ED,6,IND,0,0,1,0,13,0,60.2,,,,,,0,0,0,0,0
2014,Luke McCown,1827,QB,16,NO,0,0,0,0,0,69,63.2,,,,,,0,0,0,0,0
2014,Jerricho Cotchery,1829,WR,1,CAR,1,0,0,0,0,0,60,,,,,,0,0,0,0,0
2014,Will Allen,1832,S,16,PIT,13,60,14,61,26,0,64.1,,,,,,0,0,6,1,0
2014,Robert Geathers,1838,ED,5,CIN,0,0,2,0,9,0,59.4,,,,,,0,0,0,0,0
2014,Jared Allen,1847,ED,15,CHI,0,0,10,0,76,0,57.9,,,,,,0,0,0,0,0
2014,Antonio Smith,1856,DI,16,OAK,0,0,5,0,92,0,57.2,,,,,,0,0,0,0,0
2014,Josh Scobee,1858,K,16,JAX,0,63,0,0,0,51,60.8,67.4,,,,59,0,0,0,0,0
2014,Andy Lee,1906,P,16,SF,0,0,0,77,0,65,55.7,,,75.4,,,3,1,0,0,0
2014,Donnie Jones,1939,P,16,PHI,0,0,0,77,0,90,63.8,,,60.1,,,0,0,0,0,0
2014,Scott Wells,1965,C,3,SL,0,0,0,0,0,3,60.2,,,,,,0,0,0,0,0
2014,Mike Adams,1972,S,6,IND,1,1,8,6,14,0,59.4,,,,,,0,0,0,0,0
2014,Jeremy Cain,2001,LS,16,CHI,0,0,0,75,0,51,29.4,,,,,,0,0,3,0,1
2014,Tyson Clabo,2011,T,16,HST,0,0,0,0,0,76,62.2,,,,,,0,0,0,0,0
2014,Malcom Floyd,2044,WR,5,SD,4,0,0,0,0,0,58.4,,,,,,0,0,0,0,0
2014,Tommy Kelly,2093,DI,16,ARZ,0,0,4,0,62,0,91.3,,,,,,0,0,0,0,0
2014,Cullen Loeffler,2106,LS,16,MIN,0,0,0,77,0,64,25.4,,,,,,0,0,4,0,1
2014,Don Muhlbach,2130,LS,16,DET,0,0,0,69,0,71,27.3,,,,,,0,0,0,0,0
2014,Wes Welker,2204,WR,4,DEN,0,0,19,0,0,0,60.8,,,,60.2,,0,0,0,0,0
2014,George Wilson,2210,S,16,TEN,12,1,19,94,18,0,58.3,,,,,,0,0,4,0,0
2014,Ronnie Brown,2219,HB,8,SD,36,0,0,14,0,0,65.5,,,,,,0,0,0,0,0
2014,Adam Jones,2223,CB,15,CIN,44,8,29,0,4,0,53.4,,91.4,,69.6,,0,0,0,0,0
2014,Antrel Rolle,2225,S,4,NYG,2,2,0,0,5,0,59.7,,,,,,0,0,0,0,0
2014,Carlos Rogers,2226,CB,7,OAK,0,0,8,0,39,0,52.4,,,,,,1,0,0,0,0
2014,DeMarcus Ware,2228,ED,2,DEN,0,0,2,0,0,0,59.7,,,,,,0,0,0,0,0
2014,Thomas Davis Sr.,2231,LB,11,CAR,0,0,5,0,40,0,60.1,,,,,,0,0,0,0,0
2014,Derrick Johnson,2232,LB,1,KC,0,0,0,0,1,0,60,,,,,,0,0,0,0,0
2014,Chris Spencer,2243,C,16,TEN,0,0,0,0,0,49,62.8,,,,,,0,0,0,0,0
2014,Roddy White,2244,WR,1,ATL,1,0,0,0,0,0,60,,,,,,0,0,0,0,0
2014,Heath Miller,2247,TE,5,PIT,4,0,0,1,0,0,58.4,,,,,,0,0,0,0,0
2014,Mike Patterson,2248,DI,14,NYG,0,0,15,0,59,0,50.7,,,,,,1,0,0,0,0
2014,Logan Mankins,2249,G,13,TB,0,0,0,0,0,47,56.9,,,,,,0,0,0,0,0
2014,Michael Roos,2258,T,5,TEN,0,0,0,0,0,18,62,,,,,,0,0,0,0,0
2014,Mike Nugent,2264,K,16,CIN,0,81,0,0,0,72,60.9,54.3,,,,52.6,0,0,1,0,0
2014,Khalif Barnes,2269,T,13,OAK,0,0,0,0,0,41,61.7,,,,,,0,0,0,0,0
2014,Jonathan Babineaux,2276,DI,15,ATL,0,0,1,0,75,0,57,,,,,,0,0,0,0,0
2014,Courtney Roby,2285,WR,4,ATL,11,21,9,5,0,0,60.4,,,,,,0,0,0,0,0
2014,Alex Smith,2288,TE,2,CIN,5,0,1,0,0,8,27,,,,,,0,0,0,0,0
2014,Justin Tuck,2291,ED,14,OAK,0,0,4,0,77,0,87.5,,,,,,0,0,0,0,0
2014,Evan Mathis,2296,G,1,PHI,0,0,0,0,0,3,60.3,,,,,,0,0,0,0,0
2014,Adam Snyder,2311,G,4,NYG,0,0,0,0,0,21,62.7,,,,,,0,0,0,0,0
2014,Dustin Colquitt,2316,P,16,KC,0,1,0,72,0,68,63.9,60,,71.8,,,0,0,1,0,0
2014,Todd Herremans,2343,G,7,PHI,0,0,0,0,0,38,63.6,,,,,,0,0,0,0,0
2014,Darren Sproles,2347,HB,15,PHI,7,0,81,0,0,0,61.7,,57.4,,87.5,,0,0,0,0,0
2014,Chris Canty,2349,DI,10,BLT,0,0,0,0,42,0,58.3,,,,,,0,0,0,0,0
2014,Trent Cole,2363,ED,14,PHI,0,0,1,0,63,0,49.7,,,,,,1,0,0,0,0
2014,Will Svitek,2404,T,5,TEN,0,0,0,0,0,13,61.8,,,,,,0,0,0,0,0
2014,C.J. Mosley,2408,DI,15,DET,0,0,2,0,51,35,51.4,,,,,,1,0,0,0,0
2014,Chris Myers,2417,C,1,HST,0,0,0,0,0,7,60.5,,,,,,0,0,0,0,0
2014,Joe Berger,2424,G,16,MIN,30,0,0,0,0,64,70.8,,,,,,0,0,0,0,0
2014,Kevin Vickerson,2433,DI,15,KC,0,0,1,0,54,63,60.1,,,,,,0,0,0,0,0
2014,Jay Ratliff,2441,DI,11,CHI,0,0,6,0,49,26,75.8,,,,,,0,0,0,0,0
2014,Lorenzo Alexander,2476,ED,16,ARZ,72,76,65,93,31,0,52.8,,,,,,1,0,6,0,5
2014,Chase Blackburn,2498,LB,6,CAR,30,26,9,26,29,12,70.3,,,,,,0,0,3,1,0
2014,Jon Condo,2539,LS,16,OAK,0,0,0,109,0,50,27.9,,,,,,1,0,1,2,1
2014,Dan Connolly,2540,G,13,NE,0,0,0,0,0,69,64.7,,,,,,0,0,0,0,0
2014,Joshua Cribbs,2544,WR,6,IND,26,32,38,0,0,0,60.3,,73,,56.6,,0,0,2,0,1
2014,John Denney,2561,LS,16,MIA,0,0,0,61,0,78,28.2,,,,,,0,0,2,0,0
2014,Robbie Gould,2607,K,12,CHI,0,53,0,0,0,41,60.7,50.8,,,,56.8,0,0,0,0,0
2014,Michael Koenen,2682,P,16,TB,0,69,0,81,0,55,63.6,56.9,,51.1,,,1,0,0,0,2
2014,John Kuhn,2686,FB,16,GB,66,0,0,35,0,0,49.4,,,,,,0,0,2,0,0
2014,L.P. Ladouceur,2687,LS,16,DAL,0,0,0,59,0,86,28.8,,,,,,0,0,0,1,0
2014,Jim Leonhard,2694,S,16,CLV,21,32,56,96,2,0,51.6,,60,,52,,1,0,3,2,0
2014,Lance Moore,2718,WR,3,PIT,2,0,0,1,0,0,59,,,,,,0,0,0,0,0
2014,Nick Novak,2726,K,16,SD,0,79,0,6,0,69,61,20.6,,52.6,,66.8,0,0,0,0,2
2014,Erik Pears,2737,G,16,BUF,0,0,0,0,0,70,63.3,,,,,,0,0,0,0,0
2014,Shaun Suisham,2796,K,16,PIT,0,92,0,0,0,78,61,38.1,,,,66.8,0,0,1,1,2
2014,Ray Ventrone,2824,S,8,SF,34,28,36,37,4,0,46.7,,,,,,0,0,3,0,1
2014,Greg Warren,2831,LS,16,PIT,0,0,0,61,0,78,28.3,,,,,,0,0,1,0,0
2014,Ahmad Brooks,2945,ED,2,SF,0,0,1,0,4,0,60.5,,,,,,0,0,0,0,0
2014,Mario Williams,2946,ED,16,BUF,0,0,10,0,59,0,79.5,,,,,,0,0,0,0,0
2014,D'Brickashaw Ferguson,2949,T,15,NYJ,0,0,0,0,0,63,39.7,,,,,,1,0,0,0,0
2014,A.J. Hawk,2950,LB,10,GB,5,0,7,1,21,0,60.6,,,,,,0,0,0,0,0
2014,Donte Whitner,2953,S,8,CLV,0,0,6,0,17,0,60.4,,,,,,0,0,0,0,0
2014,Jay Cutler,2956,QB,1,CHI,0,0,0,0,0,0,60,,,,,,0,0,0,0,0
2014,Haloti Ngata,2957,DI,12,BLT,0,0,0,0,44,1,57.3,,,,,,0,0,0,0,0
2014,Kamerion Wimbley,2958,ED,13,TEN,0,5,5,7,55,24,73.2,,,,,,0,0,2,2,0
2014,Chad Greenway,2962,LB,12,MIN,0,0,12,0,44,0,62.3,,,,,,0,0,0,0,0
2014,Antonio Cromartie,2964,CB,15,ARZ,4,1,17,0,38,0,60.4,,,,,,0,0,0,0,0
2014,Tamba Hali,2965,ED,2,KC,0,0,1,0,0,0,60,,,,,,0,0,0,0,0
2014,Manny Lawson,2967,ED,16,BUF,0,0,81,83,26,0,65.4,,,,,,0,0,3,1,0
2014,Davin Joseph,2968,G,16,SL,0,0,0,0,0,65,64.1,,,,,,0,0,0,0,0
2014,Johnathan Joseph,2969,CB,1,HST,0,0,0,0,1,0,60,,,,,,0,0,0,0,0
2014,Santonio Holmes,2970,WR,8,CHI,0,0,22,0,0,0,60.9,,,,50.2,,0,0,0,0,0
2014,Mathias Kiwanuka,2977,ED,9,NYG,0,0,10,5,30,0,59.5,,,,,,0,0,0,0,0
2014,DeMeco Ryans,2978,LB,7,PHI,0,0,1,0,32,0,60.7,,,,,,0,0,0,0,0
2014,D'Qwell Jackson,2979,LB,15,IND,0,0,1,0,64,0,61.5,,,,,,0,0,0,0,0
2014,Danieal Manning,2987,S,16,HST,56,78,43,16,20,0,60.4,,55.7,,,,0,0,8,0,2
2014,Roman Harper,2988,S,16,CAR,1,30,48,0,70,0,63.4,,,,,,0,0,0,0,0
2014,Daryn Colledge,2992,G,13,MIA,0,0,0,0,0,59,55.5,,,,,,0,0,0,0,0
2014,Greg Jennings,2997,WR,1,MIN,0,0,0,0,0,0,60,,,,,,0,0,0,0,0
2014,Bernard Pollard,2999,S,5,TEN,0,0,4,0,26,0,60.4,,,,,,0,0,0,0,0
